"peiid","taxonname_clean","taxonname_key","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","POINT_X","POINT_Y","phiidref","labsampnum","layerseqnum","hzdept","hzdepb","hzname","texcl","ncsslayerlabdataiid","sandtotmeasured","silttotmeasured","claytotmeasured","cec7","colorhue","colorvalue","colorchroma"
890499,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3792888999999,32.3611000000001,4410597,"11N00493",22,26,45,"Bt","Sandy clay loam",432752,59.2999992,8.1999998,32.5,NA,"10YR",6,6
890499,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3792888999999,32.3611000000001,4410598,"11N00492",21,16,26,"E","Loamy sand",432751,83.3000031,9.3999996,7.3000002,NA,"10YR",6,4
890499,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3792888999999,32.3611000000001,4410596,"11N00490",19,0,2,"A","Loamy sand",432749,84.8000031,10.3000002,4.9000001,NA,"10YR",4,2
890500,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.379725,32.3611750000001,4410600,"11N00495",24,2,11,"A","Loamy sand",432754,85.5,10.1999998,4.3000002,NA,"10YR",4,2
890500,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.379725,32.3611750000001,4410601,"11N00496",25,11,20,"AE","Loamy sand",432755,83.9000015,10.8999996,5.1999998,NA,"10YR",6,3
890500,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.379725,32.3611750000001,4410602,"11N00497",26,20,45,"Bt","Sandy clay loam",432756,68.0999985,9.3999996,22.5,NA,"10YR",6,6
890500,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.379725,32.3611750000001,4410600,"11N00494",23,0,2,"A","Loamy sand",432753,84.1999969,11.3000002,4.5,NA,"10YR",4,2
890501,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3794861,32.3614667000001,4410604,"11N00499",28,2,22,"A","Loamy sand",432758,82.5999985,13,4.4000001,NA,"10YR",4,2
890501,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3794861,32.3614667000001,4410605,"11N00500",29,22,30,"E","Loamy sand",432759,83.5,11.6999998,4.8000002,NA,"10YR",6,3
890501,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3794861,32.3614667000001,4410606,"11N00501",30,30,45,"Bt","Sandy clay loam",432760,69,10.6999998,20.2999992,NA,"10YR",6,6
890501,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3794861,32.3614667000001,4410604,"11N00498",27,0,2,"A","Loamy sand",432757,84.1999969,11.6999998,4.0999999,NA,"10YR",4,2
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410608,"11N00503",32,2,20,"A","Sand",432762,88.8000031,9.3000002,1.9,NA,"10YR",5,2
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410609,"11N00504",33,20,40,"E","Loamy sand",432763,85.6999969,11.8000002,2.5,NA,"10YR",6,4
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410610,"11N00505",34,40,55,"Bt","Sandy loam",432764,77.1999969,13,9.8000002,NA,"10YR",6,6
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410611,"11N00506",35,55,98,"Btv1","Sandy clay loam",432765,60.5999985,5.9000001,33.5,NA,"10YR",6,6
